,airport,timezone
0,AAA,Pacific/Tahiti
1,AAB,Australia/Brisbane
2,AAC,Africa/Cairo
3,AAD,Africa/Mogadishu
4,AAE,Africa/Algiers
5,AAF,America/New_York
6,AAG,America/Sao_Paulo
7,AAH,Europe/Berlin
8,AAI,America/Araguaina
9,AAJ,America/Paramaribo
10,AAK,Pacific/Tarawa
11,AAL,Europe/Copenhagen
12,AAM,Africa/Johannesburg
13,AAN,Asia/Dubai
14,AAO,America/Caracas
15,AAP,Asia/Makassar
16,AAQ,Europe/Moscow
17,AAR,Europe/Copenhagen
18,AAS,Asia/Jayapura
19,AAT,Asia/Urumqi
20,AAU,Pacific/Apia
21,AAV,Asia/Manila
22,AAX,America/Sao_Paulo
23,AAY,Asia/Aden
24,AAZ,America/Guatemala
25,ABA,Asia/Krasnoyarsk
26,ABB,Africa/Lagos
27,ABC,Europe/Madrid
28,ABD,Asia/Tehran
29,ABE,America/New_York
30,ABF,Pacific/Tarawa
31,ABG,Australia/Brisbane
32,ABH,Australia/Brisbane
33,ABI,America/Chicago
34,ABJ,Africa/Abidjan
35,ABK,Africa/Addis_Ababa
36,ABL,America/Anchorage
37,ABM,Australia/Brisbane
38,ABN,America/Paramaribo
39,ABO,Africa/Abidjan
40,ABP,Pacific/Port_Moresby
41,ABQ,America/Denver
42,ABR,America/Chicago
43,ABS,Africa/Cairo
44,ABT,Asia/Riyadh
45,ABU,Asia/Makassar
46,ABV,Africa/Lagos
47,ABW,Pacific/Port_Moresby
48,ABX,Australia/Sydney
49,ABY,America/New_York
50,ABZ,Europe/London
51,ACA,America/Mexico_City
52,ACB,America/Detroit
53,ACC,Africa/Accra
54,ACD,America/Bogota
55,ACE,Atlantic/Canary
56,ACH,Europe/Zurich
57,ACI,Europe/Guernsey
58,ACJ,Asia/Colombo
59,ACK,America/New_York
60,ACL,America/Bogota
61,ACM,America/Bogota
62,ACN,America/Matamoros
63,ACP,Asia/Tehran
64,ACR,America/Bogota
65,ACS,Asia/Krasnoyarsk
66,ACT,America/Chicago
67,ACU,America/Panama
68,ACV,America/Los_Angeles
69,ACX,Asia/Shanghai
70,ACY,America/New_York
71,ACZ,Asia/Tehran
72,ADA,Europe/Istanbul
73,ADB,Europe/Istanbul
74,ADC,Pacific/Port_Moresby
75,ADD,Africa/Addis_Ababa
76,ADE,Asia/Aden
77,ADF,Europe/Istanbul
78,ADG,America/Detroit
79,ADH,Asia/Yakutsk
80,ADI,Africa/Windhoek
81,ADJ,Asia/Amman
82,ADK,America/Adak
83,ADL,Australia/Adelaide
84,ADM,America/Chicago
85,ADN,America/Bogota
86,ADO,Australia/Adelaide
87,ADP,Asia/Colombo
88,ADQ,America/Anchorage
89,ADR,America/New_York
90,ADS,America/Chicago
91,ADT,America/Chicago
92,ADU,Asia/Tehran
93,ADV,Africa/Khartoum
94,ADW,America/New_York
95,ADX,Europe/London
96,ADY,Africa/Johannesburg
97,ADZ,America/Bogota
98,AEA,Pacific/Tarawa
99,AEB,Asia/Shanghai
100,AEE,Africa/Juba
101,AEG,Asia/Jakarta
102,AEH,Africa/Ndjamena
103,AEK,Pacific/Port_Moresby
104,AEL,America/Chicago
105,AEM,Asia/Vladivostok
106,AEO,Africa/Nouakchott
107,AEP,America/Argentina/Buenos_Aires
108,AEQ,Asia/Shanghai
109,AER,Europe/Moscow
110,AES,Europe/Oslo
111,AET,America/Anchorage
112,AEU,Asia/Tehran
113,AEX,America/Chicago
114,AEY,Atlantic/Reykjavik
115,AFA,America/Argentina/Mendoza
116,AFD,Africa/Johannesburg
117,AFF,America/Denver
118,AFI,America/Bogota
119,AFK,Asia/Colombo
120,AFL,America/Cuiaba
121,AFN,America/New_York
122,AFO,America/Denver
123,AFR,Pacific/Port_Moresby
124,AFS,Asia/Samarkand
125,AFT,Pacific/Guadalcanal
126,AFW,America/Chicago
127,AFY,Europe/Istanbul
128,AFZ,Asia/Tehran
129,AGA,Africa/Casablanca
130,AGB,Europe/Berlin
131,AGC,America/New_York
132,AGD,Asia/Jayapura
133,AGE,Europe/Berlin
134,AGF,Europe/Paris
135,AGG,Pacific/Port_Moresby
136,AGH,Europe/Stockholm
137,AGI,America/Paramaribo
138,AGJ,Asia/Tokyo
139,AGK,Pacific/Port_Moresby
140,AGL,Pacific/Port_Moresby
141,AGN,America/Juneau
142,AGO,America/Chicago
143,AGP,Europe/Madrid
144,AGQ,Europe/Athens
145,AGR,Asia/Kolkata
146,AGS,America/New_York
147,AGT,America/Asuncion
148,AGU,America/Mexico_City
149,AGV,America/Caracas
150,AGW,Australia/Brisbane
151,AGX,Asia/Kolkata
152,AGZ,Africa/Johannesburg
153,AHB,Asia/Riyadh
154,AHC,America/Los_Angeles
155,AHD,America/Chicago
156,AHE,Pacific/Tahiti
157,AHF,America/Chicago
158,AHH,America/Chicago
159,AHI,Asia/Jayapura
160,AHJ,Asia/Shanghai
161,AHL,America/Guyana
162,AHM,America/Los_Angeles
163,AHN,America/New_York
164,AHO,Europe/Rome
165,AHS,America/Tegucigalpa
166,AHU,Africa/Casablanca
167,AHW,Asia/Muscat
168,AHY,Indian/Antananarivo
169,AHZ,Europe/Paris
170,AIA,America/Denver
171,AIC,Pacific/Kwajalein
172,AID,America/Indiana/Indianapolis
173,AIE,Pacific/Port_Moresby
174,AIF,America/Sao_Paulo
175,AIG,Africa/Bangui
176,AIH,Pacific/Port_Moresby
177,AII,Africa/Djibouti
178,AIK,America/New_York
179,AIL,America/Panama
180,AIM,Pacific/Kwajalein
181,AIN,America/Anchorage
182,AIO,America/Chicago
183,AIP,Asia/Kolkata
184,AIR,America/Cuiaba
185,AIS,Pacific/Tarawa
186,AIT,Pacific/Rarotonga
187,AIU,Pacific/Rarotonga
188,AIV,America/Chicago
189,AIW,Africa/Windhoek
190,AIZ,America/Chicago
191,AJA,Europe/Paris
192,AJF,Asia/Riyadh
193,AJI,Europe/Istanbul
194,AJJ,Africa/Nouakchott
195,AJK,Asia/Tehran
196,AJL,Asia/Kolkata
197,AJN,Indian/Comoro
198,AJR,Europe/Stockholm
199,AJS,America/Hermosillo
200,AJU,America/Noronha
201,AJY,Africa/Niamey
202,AKA,Asia/Shanghai
203,AKB,America/Adak
204,AKC,America/New_York
205,AKD,Asia/Kolkata
206,AKE,Africa/Libreville
207,AKF,Africa/Tripoli
208,AKG,Pacific/Port_Moresby
209,AKH,Asia/Riyadh
210,AKI,America/Anchorage
211,AKJ,Asia/Tokyo
212,AKK,America/Anchorage
213,AKL,Pacific/Auckland
214,AKM,Africa/Ndjamena
215,AKN,America/Anchorage
216,AKO,America/Denver
217,AKP,America/Anchorage
218,AKQ,Asia/Jakarta
219,AKR,Africa/Lagos
220,AKS,Pacific/Guadalcanal
221,AKT,Asia/Nicosia
222,AKU,Asia/Shanghai
223,AKV,America/Toronto
224,AKW,Asia/Tehran
225,AKX,Asia/Aqtobe
226,AKY,Asia/Yangon
227,ALA,Asia/Almaty
228,ALB,America/New_York
229,ALC,Europe/Madrid
230,ALD,America/Lima
231,ALE,America/Chicago
232,ALF,Europe/Oslo
233,ALG,Africa/Algiers
234,ALH,Australia/Perth
235,ALI,America/Chicago
236,ALJ,Africa/Johannesburg
237,ALK,Africa/Addis_Ababa
238,ALL,Europe/Rome
239,ALM,America/Denver
240,ALN,America/Chicago
241,ALO,America/Chicago
242,ALP,Asia/Damascus
243,ALQ,America/Sao_Paulo
244,ALR,Pacific/Auckland
245,ALS,America/Denver
246,ALT,America/Santarem
247,ALU,Africa/Mogadishu
248,ALW,America/Los_Angeles
249,ALX,America/Chicago
250,ALY,Africa/Cairo
251,ALZ,America/Anchorage
252,AMA,America/Chicago
253,AMB,Indian/Antananarivo
254,AMC,Africa/Ndjamena
255,AMD,Asia/Kolkata
256,AME,Africa/Maputo
257,AMF,Pacific/Port_Moresby
258,AMG,Pacific/Port_Moresby
259,AMH,Africa/Addis_Ababa
260,AMI,Asia/Makassar
261,AMJ,America/Sao_Paulo
262,AMK,America/Denver
263,AML,America/Panama
264,AMM,Asia/Amman
265,AMN,America/Detroit
266,AMO,Africa/Ndjamena
267,AMP,Indian/Antananarivo
268,AMQ,Asia/Jayapura
269,AMS,Europe/Amsterdam
270,AMT,Australia/Adelaide
271,AMU,Pacific/Port_Moresby
272,AMV,Europe/Moscow
273,AMW,America/Chicago
274,AMX,Australia/Darwin
275,AMY,Indian/Antananarivo
276,AMZ,Pacific/Auckland
277,ANA,Africa/Nairobi
278,ANB,America/Chicago
279,ANC,America/Anchorage
280,AND,America/New_York
281,ANE,Europe/Paris
282,ANF,America/Santiago
283,ANG,Europe/Paris
284,ANI,America/Anchorage
285,ANJ,Africa/Brazzaville
286,ANK,Europe/Istanbul
287,ANL,Africa/Luanda
288,ANM,Indian/Antananarivo
289,ANN,America/Metlakatla
290,ANO,Africa/Maputo
291,ANP,America/New_York
292,ANQ,America/Indiana/Indianapolis
293,ANR,Europe/Brussels
294,ANS,America/Lima
295,ANU,America/Antigua
296,ANV,America/Anchorage
297,ANW,America/Chicago
298,ANX,Europe/Oslo
299,ANY,America/Chicago
300,ANZ,Australia/Darwin
301,AOA,Pacific/Port_Moresby
302,AOB,Pacific/Port_Moresby
303,AOC,Europe/Berlin
304,AOD,Africa/Ndjamena
305,AOE,Europe/Istanbul
306,AOG,Asia/Shanghai
307,AOH,America/New_York
308,AOI,Europe/Rome
309,AOJ,Asia/Tokyo
310,AOK,Europe/Athens
311,AOL,America/Argentina/Cordoba
312,AOM,Asia/Muscat
313,AON,Pacific/Port_Moresby
314,AOO,America/New_York
315,AOP,America/Lima
316,AOR,Asia/Kuala_Lumpur
317,AOS,America/Anchorage
318,AOT,Europe/Rome
319,AOU,Asia/Vientiane
320,APA,America/Denver
321,APB,America/La_Paz
322,APC,America/Los_Angeles
323,APF,America/New_York
324,APG,America/New_York
325,APH,America/New_York
